id,t,layer,concept_separated,accuracy
513,900,15,"(True, True, False)",0.5243055555555556
514,900,15,"(True, False, True)",0.4642857142857143
515,900,15,"(False, True, True)",0.4888888888888889
516,900,18,"(True, False, False)",0.5384615384615384
517,900,18,"(False, True, False)",0.4868913857677903
518,900,18,"(False, False, True)",0.5441176470588235
519,900,18,"(True, True, False)",0.5381944444444444
520,900,18,"(True, False, True)",0.5357142857142857
521,900,18,"(False, True, True)",0.48333333333333334
522,900,21,"(True, False, False)",0.5384615384615384
523,900,21,"(False, True, False)",0.49812734082397003
524,900,21,"(False, False, True)",0.5441176470588235
525,900,21,"(True, True, False)",0.5243055555555556
526,900,21,"(True, False, True)",0.42857142857142855
527,900,21,"(False, True, True)",0.5055555555555555
528,890,0,"(True, False, False)",0.5314685314685315
529,890,0,"(False, True, False)",0.5056179775280899
530,890,0,"(False, False, True)",0.4852941176470588
531,890,0,"(True, True, False)",0.5138888888888888
532,890,0,"(True, False, True)",0.4642857142857143
533,890,0,"(False, True, True)",0.4666666666666667
534,890,3,"(True, False, False)",0.5384615384615384
535,890,3,"(False, True, False)",0.49812734082397003
536,890,3,"(False, False, True)",0.4852941176470588
537,890,3,"(True, True, False)",0.4861111111111111
538,890,3,"(True, False, True)",0.48214285714285715
539,890,3,"(False, True, True)",0.45555555555555555
540,890,6,"(True, False, False)",0.5314685314685315
541,890,6,"(False, True, False)",0.49063670411985016
542,890,6,"(False, False, True)",0.5147058823529411
543,890,6,"(True, True, False)",0.4791666666666667
544,890,6,"(True, False, True)",0.4642857142857143
545,890,6,"(False, True, True)",0.45555555555555555
546,890,9,"(True, False, False)",0.5524475524475524
547,890,9,"(False, True, False)",0.50187265917603
548,890,9,"(False, False, True)",0.4852941176470588
549,890,9,"(True, True, False)",0.4965277777777778
550,890,9,"(True, False, True)",0.48214285714285715
551,890,9,"(False, True, True)",0.4722222222222222
552,890,12,"(True, False, False)",0.5454545454545454
553,890,12,"(False, True, False)",0.50187265917603
554,890,12,"(False, False, True)",0.45588235294117646
555,890,12,"(True, True, False)",0.5138888888888888
556,890,12,"(True, False, True)",0.4642857142857143
557,890,12,"(False, True, True)",0.45555555555555555
558,890,15,"(True, False, False)",0.5104895104895105
559,890,15,"(False, True, False)",0.5280898876404494
560,890,15,"(False, False, True)",0.47058823529411764
561,890,15,"(True, True, False)",0.5243055555555556
562,890,15,"(True, False, True)",0.4642857142857143
563,890,15,"(False, True, True)",0.46111111111111114
564,890,18,"(True, False, False)",0.5244755244755245
565,890,18,"(False, True, False)",0.4943820224719101
566,890,18,"(False, False, True)",0.5
567,890,18,"(True, True, False)",0.5034722222222222
568,890,18,"(True, False, True)",0.48214285714285715
569,890,18,"(False, True, True)",0.46111111111111114
570,890,21,"(True, False, False)",0.5034965034965035
571,890,21,"(False, True, False)",0.5056179775280899
572,890,21,"(False, False, True)",0.5
573,890,21,"(True, True, False)",0.5
574,890,21,"(True, False, True)",0.44642857142857145
575,890,21,"(False, True, True)",0.4722222222222222
576,880,0,"(True, False, False)",0.5594405594405595
577,880,0,"(False, True, False)",0.50187265917603
578,880,0,"(False, False, True)",0.47058823529411764
579,880,0,"(True, True, False)",0.4583333333333333
580,880,0,"(True, False, True)",0.48214285714285715
581,880,0,"(False, True, True)",0.49444444444444446
582,880,3,"(True, False, False)",0.5524475524475524
583,880,3,"(False, True, False)",0.5093632958801498
584,880,3,"(False, False, True)",0.47058823529411764
585,880,3,"(True, True, False)",0.4895833333333333
586,880,3,"(True, False, True)",0.48214285714285715
587,880,3,"(False, True, True)",0.4722222222222222
588,880,6,"(True, False, False)",0.5944055944055944
